V,graph,ar_time_taken,mh_time_taken
10,"[[ 0 55 67 86 40 65 82 61 45 67]
 [22  0 41 67 83 53 61  9 36 54]
 [29  2  0 28 24 94 67 22 93 96]
 [84 74 79  0 58 32 20 59 68 59]
 [13 79 54 68  0 51 71 62 97 94]
 [58 22 43 97  3  0 27 79 29 55]
 [80 18 31 19 53 36  0 66 21 92]
 [91 72 16 60  2 80 45  0 39 37]
 [24 43  9 65 66 69 81  3  0 95]
 [22 61  7 75 42 87 97 78 21  0]]",8e-06,8e-06
20,"[[ 0 67  0 30 71 78 11 67 47 30 59 83  9 49 53  8 60 29 77 15]
 [59  0 91 39  6 44 76 52 87 14  2 12 94 40 79 13 89 16 55 69]
 [75 37  0 93 28 82 12 39 29 84 40  4 63  2 14 24 94 33  8  9]
 [61 71 86  0 66 15 44 92 43 32 13  5 68 15 80 11 34 72 94 91]
 [ 5 45 27 46  0 93 12 73  6  4 51 22 43 81 98 52 17  2 80 44]
 [ 8 26  4 84 14  0 35 55 88 19 77 58 50 27 64 30 45 15 81 55]
 [70 36 96 50 72 94  0 49 44 24 53 88  4 57 46 63 93 11 58 75]
 [24 49 90 77 19  3 59  0 71 10 70 30 10 22 15 72 80 58 55 40]
 [55 60 48 29 20 65 77 29  0 99  9 18 86 99 16 90 32 10 49 42]
 [56 90 22 28 90 70 34  5 52  0 77 80 41 16 64 31 93 66 78  4]
 [84 71 46 70 19 96 73 75 92  5  0 84 42 78 63 30 86 10 77 54]
 [61 17  9 27 75 75 69 81 22 99 70  0 12 12 59 90 73  1 26 92]
 [ 9  0 43 83 37 45 12 48 84 37 61 20  0 12 38 50  8 30  4  8]
 [43 72 12 98 82 36 17 70 34 34 91 23 37  0 64 55 20 90 72 89]
 [44 98 67 71 99 70 43  8 19 12 33 51 64 80  0 15 68 34 54 76]
 [96 29 60 78 49 48 36 50 44 40 85 99 69 33 20  0 64 28 72 83]
 [ 0 50 41 13 93 36 34 48 31  1 37  2 82 43 44 39  0 15 95 82]
 [90 36 83 86 10 74 43 58 60 34 62 82 32 23  9 50 19  0 53 11]
 [38  8 98 78 86 10 85 78 13 80 61 48  9 51 74  0 19 63  0 29]
 [30 19  7 95 28 13 62 87 67 26 31 21 25 80 46 23 37 55 64  0]]",1.2e-05,0.000229
30,"[[ 0 16 16 42 71 86 59 52 66 57 64 14  6 63 83 20 30 48 80 98  5 25  9 58
  10 48 25 23 39 21]
 [62  0  4 31  7  9 29 53 82 59 76 85 78 54 63  9  7 46 53 34 44 86 98 90
  73 52 29 17 55 28]
 [77 64  0 45 86 92 89 70 30 42 88 29 85 65 24 40  2 17 26 56  2 70 59 89
   4 27  5 10 67 71]
 [25 99 59  0 96 66 64  4  5 14 87  1 90 25  4 37 75 45 48 73 61 39 72 14
  14 66 62 89 41 52]
 [54 35 94  4  0 60 49 95 26 30 25 24 48 39 99 23 30 66 83 70 77 34 60 83
  64 22 62 54  8 70]
 [ 7 88  7  6 37  0 72 65 96 26 34 39 91 53  6 87 61 66 61 64 84 17 23 68
  92 78 92 77 63 11]
 [68 45 63 12 68 11  0 88 87 70 67 86 70 93 51 75 65 92 46 44 61  9 96 14
   1 44 94 87 93 86]
 [ 0 70 21 82 60 11  6  0 31 64 96 66 87 57 37 20 90 11 61 11 93 82 32 46
  93 96 33 70  9 79]
 [15  2 90 27 27  3 74 64  0 90 46 99 82 18 21 37 93 93 37  1 85 79 91 19
  81 29 15 60 89 83]
 [97 33 89  5  3 69 65 68 52  0 96 85 32  4 56 77 15  1 30 58 30 88 59 25
  62 17 56 86 84 72]
 [68 72 73 26 63 85 29 54 18 47  0 99 55 93 22 83 38  7 65  5 66 55 44 77
  20 48 29  3 83 73]
 [48 42 46  0 95 67 49 95 73 67  4  0 33 83  6 31 13 61 31 76 92 23 40 13
   7 64  3 73 60 80]
 [41 78 66 86 22 88 35 96 49  9 35 78  0 47 97 84 58 42 91 51  9 40 80  6
  59 22 53  9 88 77]
 [72 97 81 55 11 48 48 50 51  9 98 58 63  0 18 89 67 90 82 35 51 71 31 76
  79 88 74 69 99 60]
 [44 81 64 63 69 60 71 87 11 56 64 43 96  5  0 28 73 72 55 51 93 90 99 48
  39 97 87 97 20 43]
 [58 83 47 86 41 84 56 79 47 69 40 11 72 57 97  0 26 46 56 30 38 22 39 61
  12 77 21 97 76 91]
 [74 81 45  9 98  8  6 96  2 65 48 65 79 50  7 32  0 72 93 78 98 42 80 90
  88 11 89 54 18 65]
 [ 2 83 41 44 87 71 74 68 17 64 89 29 55 95 48 36 89  0 48 85 75 29  9 28
  75 32 56 92 99 12]
 [43 40 33 70 59 29 78  5 68 97 12 49 26 59 10 64 10 70  0 53  6 28 48 59
  92 23 67 95 95 21]
 [89 96 59 14 73 84  9 74 44  5 60 30 60 53 66 71 41 61 55  0 65 79  3 24
  95 60 47 44 27 86]
 [13 69  3 40 16 16 95 82 63 27 85 93  8 14 48  2 21 27 72 19  0 98 73 74
  51 98 33 91 60 89]
 [77 79 95 33 46 98 30 26 15 28 55 90 15 21 82 60 71 40 10 25 40  0 50 96
  77 30 87 93 17 30]
 [78 91 29 90 35 22 10 25 54 62 41 77 66  9 99  8  6 99 70 80 74 57  0  0
  21 10 38 98 90  2]
 [88  9 67  4 15 51 86 66 20 19 20 11 85  1 91 41 84 13 66 29 72  3 33  0
  17 59 85 46 11 25]
 [41 10 29 42 21  8 99 71 33 83 76 61 14 30 57 58 55 91  5  0 88 14 20 75
   0 37 89 14 85 30]
 [60 95 75 24 48 79 84 32 84 93 65  0 43 75 11 85 34 20 77  8 72 31 71 82
  90  0  5 41 11 97]
 [ 2  5 17 50 30 28 11 28 64 69 20  9  5 76 83 10 36 46 67 38  6 58 50 45
  49 65  0 51 51  5]
 [32 63 52 26 47 90 45 65 92 50 17 90 96 59 69  2 78  3 35 10 56 65 87 34
  67 73 71  0 22 75]
 [42 36 64  1 90 46  1 61  7  9 74 41 83 93 99 54  7 35 83 40 59 54 47 22
  37 50 84 73  0 58]
 [55 89 10 56 20 37 42 71 53 96 78 99 20 45 56 94 83 67  4 84  8 25  2 27
  97  9  7 59  0  0]]",1.7e-05,2.3e-05
40,"[[ 0 41 75 ... 91 80 50]
 [ 8  0  6 ... 18 60  3]
 [26  3  0 ... 66 87 67]
 ...
 [66  0 53 ...  0 71 98]
 [76 67 79 ...  0  0 87]
 [89 82 20 ... 97 51  0]]",2.9e-05,3.5e-05
50,"[[ 0 37 59 ... 57 22 89]
 [ 3  0 12 ... 49 51 59]
 [95 65  0 ... 33 44 69]
 ...
 [92 82 20 ...  0 44 78]
 [22 35 64 ... 43  0 28]
 [12 33 33 ... 80  4  0]]",3.8e-05,0.000278
60,"[[ 0 50 13 ... 26 53 88]
 [71  0 62 ... 62 47 71]
 [60  0  0 ... 67 26 63]
 ...
 [12 85 68 ...  0 72 64]
 [10 81 92 ...  3  0 14]
 [22 46 40 ... 41 63  0]]",4.6e-05,5.8e-05
70,"[[ 0 61 63 ... 76 50  5]
 [44  0 24 ... 98 71 65]
 [72 85  0 ... 60 60  1]
 ...
 [23 42 62 ...  0 11 65]
 [63 34 68 ... 67  0 85]
 [ 6  5 56 ... 95 93  0]]",5.9e-05,8.3e-05
80,"[[ 0 21 43 ... 38 27 86]
 [46  0 25 ... 57 49 74]
 [21 20  0 ... 66 25 18]
 ...
 [13 32 61 ...  0  3 38]
 [89 97 79 ... 42  0 48]
 [40 70 85 ... 42 49  0]]",7.7e-05,0.000311
90,"[[ 0 27 24 ...  2 16 15]
 [74  0  0 ... 64 60 47]
 [81 20  0 ... 63 39 12]
 ...
 [87 68 69 ...  0 26 57]
 [26 30  9 ... 44  0 67]
 [ 3 94 68 ... 20 96  0]]",9.2e-05,0.000109
100,"[[ 0 25 73 ... 88 35 36]
 [38  0 33 ... 82 74 62]
 [20 32  0 ... 22 36 31]
 ...
 [85 10 46 ...  0 44 68]
 [78 50 92 ... 18  0 75]
 [95 22 36 ... 93 22  0]]",0.000106,0.000409
