V,graph,ar_time_taken,mh_time_taken
10,"[[ 0 96 72 32 93 40 53 76 22 30]
 [66  0 56 25  0 78 23 35 75 18]
 [53 94  0 51 11 66 94 53 16  6]
 [68  9 63  0 30 96 91 92 76 42]
 [63 61  3 78  0 65 99 12 72 94]
 [11 11 35 31 56  0 10  6 71 49]
 [55 81 49 30 31 79  0 19 82 46]
 [97  6 20 76 17 99 17  0 40 93]
 [67 43 22 76 74 92 20 73  0 64]
 [47  2 50  1  3 16 33 92 83  0]]",8e-06,7e-06
20,"[[ 0 36 58 59 26 48 34 92 93  5 92 91 85 59 29 30 37 30 10 14]
 [28  0 85 46 14 64 17 48 79 25 11 65 44 35 14 57 84 38 96 74]
 [13 45  0 31 73  2 88 74 52 26 73 24 80 98 81 38 40 65 32 10]
 [29 44 17  0 76  6 28 93 28 52 58  0 39 43 37 52 91 35 34 73]
 [92 76 97 29  0 26 63  2 60 16 80 76 49 41 90 80 75 70 43 32]
 [29 11 19 48 59  0 52  3 21 27 50 34 70  9 67 89 40 83 37 23]
 [36 61 13 93 40  2  0 26  6 92  3 59 26 64  7 55 56 51  1 53]
 [37 25  9 96 11  0 38  0 11 56 72 27 47 58 40 81 38 18 15  5]
 [46  4 22 30 66 60 74 78  0 87 60 41 83 97 80 28 97 50 58 33]
 [23  7 46 99 41 98 72 96 57  0 33 83 64 68 14 24 11 15 44 80]
 [20 72 46 69 66 46 90 13 39  5  0 43 55 67  0 69 52 98 60 77]
 [98 57 28 77 87 30 49 16 70 75  9  0 59  6 48 10 75 63 96 20]
 [31 29 66 22 64 33  0 27 50 45 90 32  0 82 53 72 78 28 10 94]
 [58  9 76  7 19 19 36 46 58 73 41 40 85  0 14 79 36 64 26 37]
 [70 87 54 76 74 82 75 56 71 80 97  9 44 22  0 38 54 84 28 56]
 [90 78 80 43 17 60 55 36 94 39 34 25 30 22 62  0 52 93 58 72]
 [10 71  2 94 38  1 87 33  4 71 77 59 71 53 47 90  0 44 89 34]
 [27 14 68 30 28 68 83 97 63  4 79 59 69 20 52 94 61  0 90 71]
 [28 81 74  9 41 56 47 55 11 21 84  1 58  2 36 37 57 99  0 94]
 [25 78 47  1 45 46 15 87  0 80 63 34 39 85 86 40 52 53 19  0]]",1.1e-05,1.3e-05
30,"[[ 0 82  5 38  2 11 19 24 22 36 88 66 38 71 31 97 61 44 40 43 73 85 76 72
  75 26 27 94 44 66]
 [81  0 99 13 96 37 97 76 58 83 11 12 20 95 98 66 58 60 59 93 61 18 88  8
   5 46 44  1  5 83]
 [58 21  0 90 75 91 76 19 87 75 21 43  7 59  3 35 80 92 45 44 47 15 49 78
  92 34 45  3 81 53]
 [72  5 65  0 50 77 12 76 26 20 13 58 75 71 13 45 72 58 88 88  8 96  9 48
  71  0 20 95 89  2]
 [51 59 28  8  0 81 55 97 68 43 50  8  1 88 71 62 49 87 46 19 33 51 81 91
  41 22 36 61 84 75]
 [60 68 24 80 30  0 96 20 34 65 61 78 87 83 42 15 12 45  2 14 53 24 66 89
  24 32 47 65 16 54]
 [25  7  3  5 21 98  0 18 41 12 61 36 88 15 82 53 65 19 45 62 21 22 48  4
  84 57 36 95 22 39]
 [34 51 77 11 23 55  0  0 85 98 13 46 58 64 28 73 15 69 66 23 61 98 11 40
  65 55 55 34 83 93]
 [17 15  4 39 53  7 35 82  0 15 15 93 78 26 44 56 98  5 25 46 23 89 23 77
  61 71 41 90 23 48]
 [74 36 50 86 98 83 26 64 20  0 52  2 14 10 40 44 77 85  3  8 26 76 79  8
  20 74 86 46 76 81]
 [48 57 42 49 61 95 99 76 73 37  0 21 64 16  9 34  1 52 53 31 63 31 45 23
  62  4 92 26 38 44]
 [63 13  1 96 78 43 90 84 19 68 84  0 59 88 20 86 21 34 69  2 52 81 48 13
  30 88  8 38 57 59]
 [65 63 54 30 75 17 43 91  5 73 41 68  0 24 28 25 20 64 15 14 22 62 36  3
  49 81 38 91  8 32]
 [41 79 31 74 25 20 77 73 87 17 71  3 49  0  1 74 79 34 27 88  0 89 88 17
  24 86 51  2 88 27]
 [51  9 50 70 71  2 93 63  7  1 65 96 38  7  0 97 49 55 61 84 67 77 76 90
  61 86 66 18 57 18]
 [52 82 40 38 27 68 67 69 64 88 90 83 85  4 33  0 29 91 34 10 40 81 41  0
  25 28 85 17  9 71]
 [ 8 25 25 31 22 71  2 40 28 96 50 74 39 25 75 45  0 84 86 27  5 88 87 35
  33 44 68 85 74 44]
 [42 74 89 37 90 50 64 39 93 69 17 36 68 43 79 89 62  0 58 17 62 89 81 15
  42 75 22 70 71 44]
 [37 92 11 27 24 68  5  5 50 60 59 47 85 16  1 57 76 92  0 52 31 28 70 64
  52 32 70  6 77  4]
 [98 58 26 31 88 23  7  6 38 49 95 52 96 56  4 48 88 58 47  0 41 40 80 95
  50 53  0 76 68 66]
 [88 22 25 71 80 33 81 33 29 14 19 46 99 84 44 34 95 77  7  9  0 43 95 72
  24 11 84 66 39 51]
 [73 37 72 24 44 48 91 55 14 99 44 36 76 92 27 83 25 27 14 79 46  0 22 62
  51 47 81 91 72 62]
 [57  0 67 31  2  0 86 64 80 99 10 52 50 13 65 63 73 64 45 65  7  7  0 82
  37 42 73 32 31 69]
 [80 73 31 78 59 46  6 86 86 64 70 17 23 44 60 42 22 13 26 40 86 86 69  0
  26 79 64 26 50 27]
 [42  3 13 89 14 58  4 44 54 77 11 36 74 56 61 72 92 46 99 24 74 39  1  0
   0 46 48 24 21 45]
 [22 93 66 72  4 14  1 46  3 52 95 71 17 70  9 87 43 93 47 31  9 69 34 80
  55  0 25 98 60 38]
 [41 77 35 89 20 65 92 55 42 83 57 89 84 50  4 82  0 89 33 15 21  2 77 77
  90 78  0 27 20 38]
 [92 29  1 63 31 24 22 60 40 88 78 23 98 29 95 86 86 12 25  5 41 66 30 97
  89 42  7  0 23  2]
 [79 60 47 42 10 97  4  2 76 98 94 83  1 46  2 48 37 81 32 20 32 12 92 29
  53 35 64 79  0 75]
 [61 62 49 66 81 39 91 87 18  1 59 76 37 44 26 12 96 18 68 48 43 59 50 16
  39 72 59 90 60  0]]",1.9e-05,2.3e-05
40,"[[ 0 84 64 ... 69 43 87]
 [59  0 64 ... 97 90  8]
 [40 82  0 ... 62 69 16]
 ...
 [64  1 51 ...  0 48 87]
 [80 11 78 ... 18  0 88]
 [38 70 59 ... 26 84  0]]",2.6e-05,3.4e-05
50,"[[ 0 66 66 ... 27 90 59]
 [44  0 71 ... 20 11 26]
 [65 20  0 ... 14 28 12]
 ...
 [98 13 21 ...  0 84 83]
 [28 90 66 ... 25  0 97]
 [95 92 98 ... 21 38  0]]",3.6e-05,4.6e-05
60,"[[ 0 37 91 ... 36 70 67]
 [44  0 25 ... 80 17 93]
 [67 38  0 ... 89 50 20]
 ...
 [90 97  7 ...  0 80 47]
 [12 48 65 ...  0  0 67]
 [23 65 45 ... 83  6  0]]",5.1e-05,5.9e-05
70,"[[ 0  0 19 ... 18 70 82]
 [21  0 95 ... 43 85 36]
 [57 32  0 ... 55 87 49]
 ...
 [45 77 46 ...  0 78 36]
 [47 40 48 ... 81  0 86]
 [34 35 53 ... 77 46  0]]",6.4e-05,7.2e-05
80,"[[ 0 98 71 ... 89 51 60]
 [40  0 13 ...  7 17 28]
 [87 42  0 ... 42 78  4]
 ...
 [82 53 45 ...  0  2 87]
 [29 64  1 ... 23  0 97]
 [19 63 96 ... 24 78  0]]",7.6e-05,9.1e-05
90,"[[ 0 25  5 ... 87 62 45]
 [58  0  9 ... 96 36 73]
 [71 59  0 ...  8 65 37]
 ...
 [ 2 18 47 ...  0  6 88]
 [76 91 73 ...  6  0  8]
 [43  1 15 ... 80 94  0]]",9.4e-05,0.000107
100,"[[ 0 24 41 ... 43 69 87]
 [87  0 11 ... 68 61 71]
 [58 72  0 ... 35 33 28]
 ...
 [91 11 17 ...  0 69 74]
 [82 18 71 ... 87  0 49]
 [96 56  8 ... 88 93  0]]",0.000118,0.000128
