V,graph,ar_time_taken,mh_time_taken
10,"[[ 0 31 42 99 23 22 14 19 96 52]
 [33  0 43 12 10 90  9 36 51 80]
 [75 46  0 91 52 91 14 74  9 27]
 [39 92 45  0 95  1 23  2 35 30]
 [38 10 54 56  0 64 31 72 57 43]
 [89 79 43 98 77  0 76 88 51 79]
 [ 3 86 42 96 18 50  0 26  4 40]
 [27 98  1 38 21  4 48  0 68 34]
 [52 44 13 39 40 72  7 88  0 53]
 [32 30 47 74 28  9 81 61 59  0]]",7e-06,7e-06
20,"[[ 0  4 98 47 18 27  7 88 82 42 53 56 46  3 11 96 84 29 80 20]
 [81  0 13 43 36 12 73 91 98 32 64 86 90 26 20 18 65 23 53 91]
 [94 83  0 19 60 58 40  1 86  5 53 48 19  8 82 79 28 62 90 91]
 [37 93 89  0 39 37 86 26 20 62 71 93 41 99 19 87 80 21 25 68]
 [96 36 77 36  0 67  1 43  2 20 68 85 31 19 41 95  3 34 51 39]
 [37 86 14 69 17  0 15 35 85 67 49 70 22 93 82 77 37 70 78 51]
 [93 16  2 99 29 99  0 80 51 96 64 61 73 41 73 95 49 21  8 21]
 [89 12 18 37 33 47 89  0 17 51 99 32 14 78 14 68 82  7 77 16]
 [69 59 37 20 34 69 80 63  0 73 46 98 81 32 95 14 19 62 33  1]
 [85 86  3 37 48 53 49 28 42  0 78 77 37 98 69 71  6 24 66 90]
 [71 30 15 63 70 22 39  5 65 83  0 86 87 44  4 90 93 26 16 16]
 [15 72  3 16 71  8 51 20  4 87 50  0 16 34 45 83 63  7 20 98]
 [11 63 38  2 76 24 87 93 28 32 94 40  0 84 77 74 56 79 24  0]
 [ 7 53  5 14 39 65 59  4 35 48  8 83 23  0 22 60 70 17 71  4]
 [49 32 86 35 10 36 89 18 46 26 97 34 57 56  0 71 49 43 13 11]
 [29 92 33 25 77 18  7 20 36 55 24 69 65 77 12  0 13 95 48 35]
 [ 2 24 64 88 25 67 68 19 67 25 24 57 58 26  0  2  0 73 90 12]
 [14 18 85 47 52 56 32 41 76 40 13 68 84 29  9 89 85  0 53 26]
 [94 89 36  1 71 82 33  8 28  1 15 94 59 80 50 88 55 24  0 93]
 [78 50  9  5 47 59 34 40 85 70 93  4 75 22 34  1 67  5 42  0]]",1e-05,1.3e-05
30,"[[ 0 91 33 79  8 64 41 80 19 82 59 47 32 67 61 16 61 27 44  0 84 64 12 60
  30  6 68 86 50 82]
 [51  0 27 77 48 64 85  8 95 17 44 43  6 79  1 92 14 10 48 28 48 39 58 77
  35 16 46 58 47 16]
 [43 63  0 88 79 30 66 67  5  3 21 92 82 17 60 68 21 12  1 98 44 58 51 81
  16 67 76  0 13 11]
 [54 18 30  0 23 49  8 76 23  3 25 67 21 10 83 14 99 36 28 63 38 35 95  8
  14 14 80 70 70 41]
 [ 5 40 69 72  0  9 30 36 40 73 54  9 61 59 83 19 15 23 56 15 51 30 51 25
  57 70 19 93  8 38]
 [16 61 46 98 39  0 97 81 55 11 61 21 86  5  3 90 72 38 39 73 64 61 92 90
  52 73 59 91 95 69]
 [79 95 28 71 24 73  0 46  7 11 78  1 84 23  3 38 20 28 11 95 82  8 26 57
  74 51 39 39 78 48]
 [98 64 36 78 59 38 15  0 15 37  7 99 80 60 63 60 50 23 23 25  4  3 91 82
  79 26 37 53 38 13]
 [91 39 10 43  2 71  7 37  0 84  3  3 50 23 54 51 57 64 13 13 66 67  4 13
  53 47 38 79 31  4]
 [98 69 75 93 57 99 14  9 95  0 84 52 74 42 63 37 82 63 47 43 52 80 81 94
  93 91 54 16 14 32]
 [49 68 57 48 74 84 77 67 38 73  0 73 97 49 39 55 22  5 16 79  6 23 24 72
   0 32 77 33 14 31]
 [ 4 79 58 59 97 10 30 27 57 44 66  0 93 20 77 58 91 37 44 25 35 63 83 85
  34 25 35 58 37 72]
 [98 73 48 37 63 38 72 25 90 16 83 46  0 59 79 78 88 95 13 75  8 25 16 77
  96 21  4 58 54  6]
 [75 89 13 23 43 19 29  7 29 29 89 26  5  0  6  6  9 40 32  6 72 25 32 39
  77 40 77 45 37 71]
 [ 2 18 87 92 41 44 11 74 16 10 39 29 69 52  0 17 60 82 89 36 57 85 70 22
   7 13 92  9 16 40]
 [41 48 33 65 73 82 92 80 78 57 76 84 55 96 69  0 99 55 95 65 42 91 59 77
  53 80 37 66 13 94]
 [16 58 83 87 50 47  9 79 79 16 30 95 38 54 41 46  0 68 31 92 82 88 73 43
  63 52 92 87 30  1]
 [95 32 14 98  7 41 73 98 27 49 10 94 72 88 14 20 25  0 91 27 12 43 98 51
  77 22 73 64 94 18]
 [28  4 71 68 43 53 15 85 84 63 39 68 73 57  4 72 74 76  0  2 92 85 96 22
  24 37 96  9 45 15]
 [94 13 62 14 41  5 51 56 10 44 42 71 18 28 21 74 69 37 66  0 88  1 49 83
  62 55 11 85  4 41]
 [32 55  7 40 75 39 81  3 36 91 15 41 40 67 64 43 18 64 89 22  0 76 34 31
  97 50 27 27 64 73]
 [ 3 13 27 62 51 65  6 12 67  4 39 71  8 34 55  8 39 16 83 70 58  0 57 17
  30  1 39 96 33 57]
 [84 57  1 87 70 65 97 63 13 94 55 52 14 87 24 73 83 53 72 49 20 95  0 68
  26 95 50 61  4 75]
 [55  1 69 86 87 22  8  7 33 49 42  2 84 63 15 79 82 87 88  6 76 57 35  0
  17 17 85 30 64 11]
 [25 63 84 62 79 97 47 79 79 12 74 88 24 30  1 54 90 80 77 22 18 78 33 65
   0 88 10 74 29 86]
 [36  3 94 31 97  0 53 72  5 43 89  5 87 72 22 42 19  4 11 80 57 43 66  0
  78  0 93 16 24  5]
 [89 93 37 36 68 62 99 75 73 43 96 82 64 43 97 92 29 58 96 98 50 74  6 81
  33 89  0 90  5 39]
 [70 76 14 77 63 31 70 76 60 12 76 11 68 75 90 80 53 59 87  1 89 91 62 17
  19 60 88  0 23 78]
 [23 71 51  8 17 93 90 83  2 47 37 97 40 18 26 65 98  9 17  6 20  0 59 35
  91 88 80 92  0 12]
 [16 84 25 62 86 19 56 60 27  8 75 36 65 57 34 67 58 14 17 27 36 86 32 44
  14 57 67 52 19  0]]",2e-05,2.3e-05
40,"[[ 0 11 30 ... 84 26 33]
 [68  0 34 ...  0 59  8]
 [37 32  0 ... 35 36 33]
 ...
 [91 79 44 ...  0  3 10]
 [76  3  0 ... 44  0  0]
 [31 96 65 ... 55 31  0]]",2.4e-05,3e-05
50,"[[ 0 86 54 ...  8 27 39]
 [32  0 98 ...  0 78 69]
 [60 17  0 ... 58 38  4]
 ...
 [10 78 38 ...  0 54 76]
 [64 94 17 ... 67  0 46]
 [67 40 56 ...  7 14  0]]",3.5e-05,4.5e-05
60,"[[ 0 47 89 ... 64 11 20]
 [77  0 14 ... 13 16 60]
 [ 2 71  0 ... 80 85  2]
 ...
 [30 58 77 ...  0 62 47]
 [ 0 17 48 ... 96  0 97]
 [ 9 56 43 ... 76 61  0]]",4.8e-05,5.8e-05
70,"[[ 0 77 10 ... 77 87 29]
 [56  0 92 ... 13 78 94]
 [13 84  0 ... 90 15 82]
 ...
 [61 97 78 ...  0 90 73]
 [84 66 34 ...  2  0 64]
 [62 49 30 ... 80 97  0]]",6.1e-05,7.8e-05
80,"[[ 0 23 19 ... 25 49 96]
 [54  0 79 ... 77  5 36]
 [73  1  0 ... 10 19 70]
 ...
 [97 23 49 ...  0 43 96]
 [73 49 66 ... 77  0 63]
 [73 41 90 ... 43 65  0]]",7.2e-05,8.8e-05
90,"[[ 0 73 26 ...  0 20 25]
 [98  0 95 ... 70 99  6]
 [27 91  0 ... 20 17 77]
 ...
 [64 64 29 ...  0 10 57]
 [77 72 27 ... 33  0 14]
 [92 79 94 ... 98 65  0]]",9e-05,0.000109
100,"[[ 0 54 30 ... 30 55 65]
 [85  0  3 ... 39 53 12]
 [22 54  0 ... 13 61 78]
 ...
 [28 14 50 ...  0  5 54]
 [13 92 97 ... 25  0 74]
 [22 90 38 ... 28 99  0]]",0.000109,0.000124
