V,graph,ar_time_taken,mh_time_taken
10,"[[ 0 35 25 37 22 44 42  4 90 26]
 [38  0 47 20 70 25 48 11 81 88]
 [98 58  0 48 31 22 36 41 13 76]
 [25 77 42  0 49 35  5 38 76 86]
 [50 20 74 45  0 37 77  8 33 83]
 [11 60 87 79 94  0 87 53 72 96]
 [10 44 27 60 81 18  0 32 54 59]
 [24 37 65 77 22 22 25  0 16 21]
 [58 17 54 10 26 91 71 11  0 81]
 [53  3 34 33 65 95  3 40 98  0]]",7e-06,7e-06
20,"[[ 0 60 31 23 23 50  3 64 30 75 72 57 62 94 51 90 17 18 36 17]
 [27  0 86 97 86 15 13 29 93 39 49  9 20  8 88 58 19  9 10 87]
 [18  5  0 52 68  7 69 96 54 53 40 82  4 46 93 37 84 15  4 50]
 [10 40 40  0 59 79  0 77 88 79 19 11 97 16 14 23 81 60  1 98]
 [45 40 82 44  0 58 22 91 19 69 28 75 62  1 10 61 79 73 46 64]
 [44 45 69 55 65  0 27 50 77 71 39 66 75 14 40 34 44 76 63 13]
 [76 83 11 80  3 62  0 47 16 10  8  2 60 10 13 46 97 17 55 88]
 [25 41 75 35 22 42 72  0 91 41 59 69 86 66 76 65 41 47  3  3]
 [36 38 59 81 98 92 11  5  0 52 78 49 85 58 13 65 26 19 60 81]
 [45 14 76 51 91 54 87 99 15  0 36 22 92 53 83 17 79 20 18 78]
 [29 92 59 82 72 76 46 54 97 47  0 49 61 46 64 28  1 83 35 43]
 [30 84  0 88 78 25 48 73 29 22 55  0 87 50 24 65 26 98 84  6]
 [34 99 66 96 25 12 35 51  5 38  7 51  0 47 47 97 48 99 26 87]
 [47 97 72 54 42 44 11 78 47 62 51 41 31  0 35  3 48  1 22 17]
 [97 75 90 76 85 13 99 35 51 51 50 56 20 77  0 98 68 80 70 11]
 [14 30 92 33 37 18 19  3 81 57 36 74 13 70 22  0 39 80 49  1]
 [86 99 99 21 75  9 24 39 78 99 12 15  5 83 40 53  0 14 14 84]
 [63 64  5  8 94 64 31 62 73  1 18 81 35 27 20 87 45  0 50 73]
 [14 54 35  4 69 67 52 33 53 32 22 62 69 25 36 82 88 94  0 50]
 [17 96  5 88 91 86 90 44 51 76 92 20 23 59 68 57 84 54 70  0]]",1.1e-05,1.3e-05
30,"[[ 0 52  2 69 39 75 75  7 42 10 55 44 22 82 48 32 62 14 17 72 16 83 44 53
  86 27 55 74 10 11]
 [53  0 32 85 29 76  3 51 67 87 75 79 44 57 22 91 65 26 45 64  7 60 67 98
  45 96 23 28 39 37]
 [55 62  0 67 41 67 48 33 21 77 17 59 28 17 12 38 41 76 19 74 93 21 95 83
  68 16 82 28 56 17]
 [40 90 56  0 82 26 21 77 59 37 48 86 95 22 81 72 28 86 12 98 41 71 43 80
  39 47 34 95 79 75]
 [94 31 46  1  0 51 73 39 63 90 93 69 14 77 34 87 61 41 87 84 10 85 87 38
  64 26 47 18 69 57]
 [92 55 87 24 89  0 88 31 29 94 40 18 79 92 23  6 79 90 57 12 89 36 65 83
  47  6 97 90 52 58]
 [10 45 11 55 12 36  0  0 32  9 91 81 14  0 69 90 46 97 42 75 78 43 39 15
  43 37 65 86 72 75]
 [67 80 53 10 46  5 42  0 13 32 88 32 92 70 86 71 91 80 63 67 32  1 64 82
  29 61 78 62 90  8]
 [87 12 65 58 67 62 83 20  0 49 81 20 83 26 55 33 96 54 73 45 38 24  6 52
  46 87 53  5  2 74]
 [13 94 11 29 72 95 33 69 72  0 87 20 21 39 39 48 21 42 14 43  8 37 12 93
  55  4 83 58 13 80]
 [41 60  4 24 66  4 21 22 93 39  0 41 40 62 31 19 48 65 83 69 64 22  5 42
   8 42 83 12 48 22]
 [85 95  9 53 47 73 67 24 34 65 91  0 16 86 52 75 98 73 54  4 17 97  9 54
  28 57 89 84 80 97]
 [26 90 12 29 48 15 91 21 93 39 44 70  0 91 30  0 15 31 17 41 12 37 97 89
  12 59 49 47 49  1]
 [36 57 71 57 45 83  8 73 57 76 73 73 72  0 83 74 69  8 17 77 34 61 85 83
   5 72 89 24 25 18]
 [76 63 41 76 29 15 32 23 29 69 61 23  6 41  0 82 91 80 11 37  0 35 59 36
  96 21 24 13 87 50]
 [32 94 74 48 13 18  8 77 84 18 76  5 14 98 86  0 57  3  5 42 98 43 71 73
  73 93 73 17  4 26]
 [54 57 30  1 71 75 85 65 82 29 13 39 53 89 70 27  0 30 58 58 79 61 85 34
  40 24 68 57 58  7]
 [82 62  1 81 19 62 71 73 66 17  9 29 87 37 64  1 77  0  9 74 10 98 45 14
   1 22  3 10 30 79]
 [20 17 99 17 18  6 40 61 96 39 19 60 48 84 34 66 14  4  0 35 78 15  8 41
  62 48 63 86 57  9]
 [72 83 30 59 64 63 96 60 81 50 12 69 28 21 41  4  0 75 33  0 60 60 71 22
  16 35 24 26 17 80]
 [92 78 97 11 68 55  4 29 91 70 43 38 16 11 95  4  6 95 80 22  0 90  0 41
  29 26 98 34 71 95]
 [61 84 59 63 89 18 77 57 84 24 46 76 61 53 97  3 39 76 58 52 91  0 71 46
   3 86 55 95 15  7]
 [40 75 60 32 97 31 31 39 72  0 46  9 55  4 13 33 75 67 39 35 30 50  0 49
  20 44 47 91  7 43]
 [35 19 73 93  4 65 51 36 85 43 76  7 41 72 70 54 45 48 69  3 20 52 42  0
  21 83 40 90 94 98]
 [40  4 88 33 63 67 83  0 21 41 55  4 91 99 56 24 20 16 47 77 34 63 76 27
   0  0 83 23  7 72]
 [82 86  8  8 16 25  2 72 34 95 80 48 19 16 78 95 65 89 29 73 75 94 95 80
  86  0 58  5 40 23]
 [50 51  7 36 23 12 94 29 18 38 60 92 29 15 25 54 10 58 54 21 55 83 64 82
  94 12  0 50 43 92]
 [95 85 31 20 86 26 17 59 34 74 24 88 39 66 84 37 21 56 86 13 80 91 79 74
   9 45 34  0 33 60]
 [26 52 18 74 42 70 90 91  2 91 82 77 95 25 59 80 63 81 41 95 75 55 74 59
  59 72 65 68  0 87]
 [76 57  4 59 88 26 65 55 22 78 45 22 12 76 23 21 71 28  5 86 44 74 77  8
  87 55 79 48 18  0]]",1.6e-05,2.1e-05
40,"[[ 0 72 27 ... 48 25 72]
 [84  0 87 ... 93 38 14]
 [97 63  0 ... 56  7 78]
 ...
 [25 48 64 ...  0 49 10]
 [10 51 56 ... 55  0 78]
 [96 16 43 ... 35 34  0]]",3.5e-05,4.4e-05
50,"[[ 0 85 29 ...  1 50 72]
 [20  0 92 ... 51  6 25]
 [30 51  0 ... 83 28 10]
 ...
 [99 77 98 ...  0 35 17]
 [ 1  9 91 ...  4  0 17]
 [48 99 49 ... 39 70  0]]",5.2e-05,6.5e-05
60,"[[ 0 22 31 ... 57 14 40]
 [82  0 16 ... 74 69 62]
 [98 60  0 ... 27 59 46]
 ...
 [28 23 63 ...  0 87 11]
 [63 91 29 ... 43  0  0]
 [57 30 16 ... 76 44  0]]",5.2e-05,5.9e-05
70,"[[ 0 40 32 ... 58 88 18]
 [ 9  0 54 ... 14 92 10]
 [76 75  0 ... 50 59 50]
 ...
 [91 43 30 ...  0  3 19]
 [18 96 25 ... 51  0 31]
 [14 44 97 ... 22 90  0]]",6.4e-05,7.4e-05
80,"[[ 0 74 61 ... 48 64 81]
 [12  0 86 ... 89 65 34]
 [95 93  0 ... 42 85 61]
 ...
 [85 91 31 ...  0 87 45]
 [71 43 71 ... 47  0 90]
 [83 75 75 ... 17 66  0]]",8e-05,9.1e-05
90,"[[ 0 10 84 ... 14 47 81]
 [43  0 56 ... 59 72 27]
 [95 94  0 ... 65 44 97]
 ...
 [24 40 91 ...  0 87 67]
 [ 3 54 13 ... 18  0 87]
 [31 29 39 ... 17 51  0]]",9e-05,0.000112
100,"[[ 0 42 32 ... 50  7 66]
 [15  0 55 ... 64 85 28]
 [52 66  0 ... 15 68 98]
 ...
 [33 32  3 ...  0 86 94]
 [59 92  2 ... 75  0 40]
 [84 96 18 ... 93 23  0]]",0.000111,0.000124
