V,graph,ar_time_taken,mh_time_taken
0,[],5e-06,2e-06
100,"[[ 0  8 13 ... 62 58 44]
 [89  0 96 ... 11  4 98]
 [78 89  0 ... 58 14 70]
 ...
 [56 30  5 ...  0 32 20]
 [42 67 81 ... 24  0 36]
 [58 43 96 ... 76 20  0]]",7.7e-05,9.4e-05
200,"[[ 0  3 64 ... 53 52 88]
 [ 9  0 16 ... 90 43 11]
 [26 83  0 ... 23 59 74]
 ...
 [83 88 59 ...  0 24 54]
 [98 76 96 ... 97  0 50]
 [63 35 45 ... 33 90  0]]",0.000257,0.000267
300,"[[ 0  1 67 ... 13 63 40]
 [96  0 89 ... 84 83 63]
 [66 71  0 ... 75 66 46]
 ...
 [14 59 96 ...  0 72 66]
 [41 25  8 ... 48  0 94]
 [17  7 64 ...  0 37  0]]",0.000551,0.000543
400,"[[ 0 15  0 ... 44 22 98]
 [15  0 61 ... 61 46 15]
 [10 54  0 ... 67 17 91]
 ...
 [64 64  0 ...  0 85 56]
 [62 33 51 ... 15  0 80]
 [19 53 30 ... 57 12  0]]",0.000982,0.000911
500,"[[ 0 77 68 ... 10 64 20]
 [72  0 83 ... 65 71 57]
 [15 55  0 ... 48 30 26]
 ...
 [ 5 29 62 ...  0 54 25]
 [ 9 79 74 ... 54  0 62]
 [64 57 91 ... 83 84  0]]",0.001793,0.001647
600,"[[ 0 80  8 ... 11  5 78]
 [54  0 29 ... 76 71 47]
 [57 62  0 ... 20 92 65]
 ...
 [38  9 15 ...  0 79 34]
 [87 26 46 ...  5  0 99]
 [52 45  4 ... 93 20  0]]",0.002477,0.002193
700,"[[ 0 40 76 ...  3 97 26]
 [77  0 21 ... 35 77 57]
 [ 0 23  0 ... 13 22 61]
 ...
 [55 13 64 ...  0 86 69]
 [75 75 25 ... 46  0 71]
 [67 47 78 ... 76 83  0]]",0.003201,0.002602
800,"[[ 0 38 20 ... 91 57 32]
 [ 1  0 45 ... 19 53 23]
 [ 1 56  0 ... 80 30 55]
 ...
 [41  3 90 ...  0 48 53]
 [12  1 28 ... 74  0 34]
 [65 79 20 ...  2 69  0]]",0.003642,0.00316
900,"[[ 0 48 39 ... 29 72  7]
 [ 1  0 20 ... 78  0 81]
 [86 99  0 ... 20 22  2]
 ...
 [82 27 98 ...  0 90  6]
 [62 45 47 ... 93  0 35]
 [78 89 60 ... 24 24  0]]",0.004577,0.003957
