V,graph,ar_time_taken,mh_time_taken
0,[],2.6e-05,1e-06
100,"[[ 0 65 84 ... 40 39 48]
 [21  0 83 ... 49 82 38]
 [42 72  0 ... 51 65 93]
 ...
 [ 2 14 70 ...  0 94 93]
 [17 79 89 ...  4  0  0]
 [88 75 66 ... 72 44  0]]",7e-05,8.3e-05
200,"[[ 0 95 91 ... 78 47 71]
 [73  0 28 ... 96 97 64]
 [41 29  0 ... 68 81 84]
 ...
 [85  8 85 ...  0 68 47]
 [24  7 47 ... 34  0 25]
 [33 53 42 ... 22 18  0]]",0.000437,0.000419
300,"[[ 0 63 96 ...  7  9 82]
 [87  0 62 ... 62 72 34]
 [83  0  0 ... 58  2 86]
 ...
 [50 69 98 ...  0 84 61]
 [35 62 41 ... 13  0 65]
 [70 77  5 ... 26 64  0]]",0.000729,0.000688
400,"[[ 0 71 53 ... 90 38 94]
 [ 9  0 79 ... 79  7 80]
 [18 78  0 ... 46 61 62]
 ...
 [31 69 16 ...  0 56 35]
 [36 20 14 ... 99  0 65]
 [ 5 76  3 ... 43 87  0]]",0.001268,0.001258
500,"[[ 0 83 30 ...  1 76  3]
 [ 3  0 95 ... 80 42 29]
 [37 11  0 ... 55 69 20]
 ...
 [50 20 12 ...  0 34 59]
 [27 18  9 ...  1  0 45]
 [85 55 38 ... 93  9  0]]",0.001763,0.001655
600,"[[ 0 83 59 ... 44  6 42]
 [11  0 10 ...  9  4 21]
 [39 40  0 ... 80 16 73]
 ...
 [61 25 24 ...  0 36  8]
 [92 43 61 ... 88  0  2]
 [ 7 43 42 ... 19  6  0]]",0.002582,0.002366
700,"[[ 0 18 53 ... 59 67 82]
 [43  0 63 ... 74 18 25]
 [19 18  0 ... 64 98 97]
 ...
 [45 25 29 ...  0 74 64]
 [89 53  3 ... 46  0 80]
 [21 86 19 ... 62 26  0]]",0.003735,0.004177
800,"[[ 0 41 96 ... 18 26 98]
 [22  0 19 ... 13 43 62]
 [59 52  0 ... 79 86 71]
 ...
 [84 68 53 ...  0 80  7]
 [46  7 14 ... 37  0 52]
 [69 22 32 ... 60 75  0]]",0.003743,0.003771
900,"[[ 0  9 21 ...  3 30 79]
 [87  0 42 ... 60 22 37]
 [26 44  0 ... 11  2  1]
 ...
 [45 41 59 ...  0 62 28]
 [71 62 53 ... 22  0 16]
 [92 46 50 ... 71 77  0]]",0.005271,0.004458
1000,"[[ 0 39  5 ... 39 19 58]
 [74  0 39 ... 92 88 52]
 [ 6 18  0 ... 31 38 59]
 ...
 [ 6 12 30 ...  0 69 15]
 [ 1 51 44 ... 40  0  2]
 [18 26 38 ... 71 81  0]]",0.00595,0.005609
1100,"[[ 0 51 14 ... 78 76 47]
 [80  0 18 ... 58 35 92]
 [68 85  0 ...  0 98 76]
 ...
 [97 18 12 ...  0 45 50]
 [ 3 51 49 ... 37  0 79]
 [29 89 70 ...  6 20  0]]",0.007334,0.006281
1200,"[[ 0 71 30 ...  7 86 71]
 [58  0 98 ...  9  1 43]
 [79 11  0 ...  9 41 51]
 ...
 [ 4 56 19 ...  0 86 90]
 [73  5  6 ... 40  0  7]
 [85 47 66 ... 49 81  0]]",0.007592,0.007169
1300,"[[ 0 82  5 ... 86 46 99]
 [67  0 80 ... 63 53 57]
 [46 90  0 ...  4 35 29]
 ...
 [96 65 41 ...  0 92 42]
 [ 0  9 76 ... 89  0 86]
 [61 72  6 ... 12 13  0]]",0.008442,0.008537
1400,"[[ 0 83 61 ... 58 15 30]
 [43  0 45 ... 30 60  9]
 [26 57  0 ... 22 12 24]
 ...
 [ 7 54 49 ...  0 42 45]
 [31 37 10 ... 82  0 29]
 [76 84 70 ... 71 21  0]]",0.010479,0.00895
1500,"[[ 0 62 27 ... 38 22 20]
 [24  0 52 ...  4 10 25]
 [27 78  0 ...  7 69  2]
 ...
 [52 67 75 ...  0 53  6]
 [66 36 35 ... 57  0 82]
 [ 8 48 30 ... 79 24  0]]",0.011862,0.009856
1600,"[[ 0 91 40 ... 21 33 74]
 [76  0 59 ... 57 14 32]
 [18 88  0 ... 12 89 47]
 ...
 [93 88 53 ...  0 45 35]
 [30 92 12 ... 91  0 38]
 [56 83 41 ... 62 18  0]]",0.013449,0.011314
1700,"[[ 0 53  7 ... 60  7 70]
 [97  0 28 ... 72  2 69]
 [42 25  0 ... 83 89 31]
 ...
 [68 16 18 ...  0 71 91]
 [41 80  6 ... 22  0 24]
 [15  6 50 ... 46 58  0]]",0.014848,0.014134
1800,"[[ 0  4  3 ... 24  0 26]
 [46  0 92 ... 37 23 61]
 [40 77  0 ... 25  9 67]
 ...
 [79 37 54 ...  0 54  2]
 [24 29 89 ... 62  0 18]
 [18 48 86 ... 14  4  0]]",0.017591,0.015835
1900,"[[ 0 60 54 ... 75  9 94]
 [ 5  0 77 ... 48 94 58]
 [54 67  0 ... 94  3 10]
 ...
 [44 67  7 ...  0 96 93]
 [45 81 86 ... 61  0 89]
 [37 11 10 ... 21  1  0]]",0.019155,0.019243
2000,"[[ 0 91 29 ... 53 71 11]
 [94  0 47 ...  7 81 60]
 [20 72  0 ... 56 23 37]
 ...
 [57 12 35 ...  0 29 89]
 [49  0 54 ... 84  0 75]
 [62 54 14 ... 26 18  0]]",0.022072,0.018473
2100,"[[ 0 18 44 ... 74 87 85]
 [99  0 42 ...  9 36  3]
 [74 72  0 ... 82 10 23]
 ...
 [74 82 51 ...  0 58 14]
 [12 64 22 ... 90  0 11]
 [35 23 26 ... 52 65  0]]",0.026366,0.021367
2200,"[[ 0 14 22 ... 99 79 93]
 [48  0 12 ... 20 31 87]
 [73 55  0 ... 40 48 99]
 ...
 [16 40 14 ...  0 30 11]
 [69 23 91 ... 20  0 41]
 [75 37 99 ... 66 84  0]]",0.02568,0.027333
2300,"[[ 0 49 24 ... 56 45 79]
 [54  0  9 ... 46 31  1]
 [41  9  0 ...  4 86  8]
 ...
 [39 13 64 ...  0 25 52]
 [55 60  3 ... 85  0 20]
 [81  4 25 ... 20 85  0]]",0.029365,0.026288
2400,"[[ 0 36 38 ... 32 63  4]
 [88  0 74 ... 17 96 16]
 [16 13  0 ... 70 71 77]
 ...
 [11 44 55 ...  0 42 50]
 [72 77 86 ... 33  0 84]
 [ 8 47 61 ... 55 42  0]]",0.03568,0.029233
2500,"[[ 0 68 94 ... 77  5 95]
 [17  0 24 ...  1 94 40]
 [91 90  0 ... 25 35 77]
 ...
 [43 42  7 ...  0  2 21]
 [42 26 62 ... 89  0 13]
 [60 49 66 ... 47 59  0]]",0.032653,0.027977
2600,"[[ 0 34 10 ... 47 26 75]
 [48  0 22 ... 88 95 40]
 [98 78  0 ... 72 78 99]
 ...
 [78 77 25 ...  0 58 35]
 [80 29 92 ... 93  0 62]
 [44 92 74 ... 41 71  0]]",0.035851,0.03333
2700,"[[ 0 81  8 ... 81 88 68]
 [78  0 78 ... 92 92 96]
 [33 72  0 ...  6 29 44]
 ...
 [64 68 57 ...  0 72 43]
 [17 94 17 ... 66  0 29]
 [ 2  8 93 ... 33 43  0]]",0.042201,0.034736
2800,"[[ 0 32 70 ... 44 50 32]
 [58  0 47 ...  2 35 42]
 [ 4 91  0 ... 24 63 41]
 ...
 [64 58 91 ...  0 76 20]
 [30 44 42 ... 54  0 85]
 [44 40 34 ... 34 23  0]]",0.045558,0.03445
