V,graph,ar_time_taken,mh_time_taken
0,[],5e-06,2e-06
100,"[[ 0 78 67 ... 87 98 33]
 [70  0 33 ... 31  9 24]
 [ 5 21  0 ... 24 61 10]
 ...
 [21 19 64 ...  0  8 32]
 [ 6 24 61 ... 73  0 14]
 [47 86 98 ... 30 39  0]]",7.5e-05,9.3e-05
200,"[[ 0 78 36 ... 64  0 23]
 [75  0 55 ...  6  0 91]
 [70 85  0 ... 97  8 97]
 ...
 [54 41 47 ...  0 89 50]
 [84 30 56 ... 39  0 26]
 [72 60 77 ... 21 43  0]]",0.000258,0.00027
300,"[[ 0  0 26 ... 31 52 57]
 [10  0  1 ... 30 53 75]
 [ 1  4  0 ... 92 65 91]
 ...
 [ 9 99 66 ...  0 55 11]
 [81 16 26 ... 94  0 29]
 [75 58 57 ... 36 99  0]]",0.000519,0.000535
400,"[[ 0 79 65 ... 86 48 52]
 [64  0 85 ... 75 92 40]
 [ 5 79  0 ... 35  2 17]
 ...
 [95 67 66 ...  0 90 73]
 [56 74 83 ... 41  0 82]
 [91 93  3 ...  5  8  0]]",0.000957,0.000916
500,"[[ 0  3 61 ... 15 45 17]
 [28  0 88 ... 61 10 81]
 [60 78  0 ... 17 18 93]
 ...
 [96 88 92 ...  0 40 29]
 [35 13 61 ... 63  0 47]
 [28 86 65 ... 89 61  0]]",0.001494,0.001357
600,"[[ 0 93 42 ... 58 69 22]
 [92  0 58 ... 66 33 24]
 [59  1  0 ... 55 48 50]
 ...
 [46  5 12 ...  0 15 60]
 [12 61 53 ... 10  0 24]
 [49 91 65 ... 56 90  0]]",0.002074,0.001878
700,"[[ 0 98  1 ... 50 31 14]
 [73  0 32 ... 84 19 82]
 [80 79  0 ...  8 90 57]
 ...
 [ 7 32 79 ...  0 36 82]
 [ 5  0 40 ... 58  0 45]
 [57 95 20 ... 68 64  0]]",0.00274,0.002446
800,"[[ 0 87 42 ... 60 54 18]
 [41  0 12 ... 76 80 81]
 [91 44  0 ... 29 79 19]
 ...
 [24 81 35 ...  0 62  4]
 [37 62 47 ... 93  0 52]
 [36 48 33 ... 13 93  0]]",0.003505,0.003137
900,"[[ 0  6 20 ... 40 26 41]
 [24  0 29 ... 36 27 25]
 [72 87  0 ... 95 79 70]
 ...
 [ 2 36 99 ...  0 89 13]
 [72 55 30 ... 68  0 11]
 [69 76 15 ... 22 42  0]]",0.0045,0.003963
1000,"[[ 0 15  0 ... 15 19 74]
 [86  0 21 ... 35 68 12]
 [50 31  0 ... 24 57 19]
 ...
 [ 3 53 36 ...  0 80 54]
 [80 38 84 ... 65  0 69]
 [88 23 81 ... 79 95  0]]",0.005685,0.004928
1100,"[[ 0 58 71 ...  7 71 21]
 [38  0 40 ... 19 63 83]
 [63 17  0 ... 86  3 24]
 ...
 [36 10 57 ...  0 80 28]
 [95 93 45 ... 97  0 89]
 [84 49 47 ... 48 86  0]]",0.006908,0.005883
1200,"[[ 0 85 29 ... 17 38  6]
 [ 2  0 77 ...  5 42 47]
 [22 72  0 ... 42 43 48]
 ...
 [55 56 65 ...  0 97  8]
 [52 72 84 ... 22  0 29]
 [47 65 97 ... 48 69  0]]",0.008276,0.006991
1300,"[[ 0 41 24 ...  5 22 69]
 [42  0 10 ... 69 60 72]
 [40 28  0 ... 11  2 69]
 ...
 [ 3 69 43 ...  0 24 70]
 [47 73 36 ... 72  0  3]
 [74 28  9 ... 65 68  0]]",0.009626,0.008347
